country,value,date,fuel_type
SWEDEN,31352.0,201511,All
UNITED KINGDOM,178876.0,201511,All
ICELAND,793.0,201511,All
NORWAY,12600.0,201511,All
SWITZERLAND,26312.0,201511,All
AUSTRIA,22832.0,201512,All
BELGIUM,32741.0,201512,All
BULGARIA,3141.0,201512,All
CROATIA,1855.0,201512,All
CYPRUS,959.0,201512,All
CZECH REPUBLIC,19768.0,201512,All
DENMARK,18461.0,201512,All
ESTONIA,1268.0,201512,All
FINLAND,7920.0,201512,All
FRANCE,183720.0,201512,All
GERMANY,247355.0,201512,All
GREECE,6816.0,201512,All
HUNGARY,7094.0,201512,All
IRELAND,342.0,201512,All
ITALY,109395.0,201512,All
LATVIA,1060.0,201512,All
LITHUANIA,1207.0,201512,All
LUXEMBOURG,2636.0,201512,All
NETHERLANDS,69159.0,201512,All
POLAND,37358.0,201512,All
PORTUGAL,13126.0,201512,All
ROMANIA,8739.0,201512,All
SLOVAKIA,7316.0,201512,All
SLOVENIA,3433.0,201512,All
SPAIN,88609.0,201512,All
SWEDEN,33540.0,201512,All
UNITED KINGDOM,180077.0,201512,All
ICELAND,842.0,201512,All
NORWAY,13078.0,201512,All
SWITZERLAND,32642.0,201512,All
AUSTRIA,24019.0,201601,All
BELGIUM,44326.0,201601,All
BULGARIA,1508.0,201601,All
CROATIA,2269.0,201601,All
CYPRUS,1065.0,201601,All
CZECH REPUBLIC,17500.0,201601,All
DENMARK,16436.0,201601,All
ESTONIA,1785.0,201601,All
FINLAND,11788.0,201601,All
FRANCE,138400.0,201601,All
GERMANY,218365.0,201601,All
GREECE,5700.0,201601,All
HUNGARY,5567.0,201601,All
IRELAND,39812.0,201601,All
ITALY,155157.0,201601,All
LATVIA,1089.0,201601,All
LITHUANIA,1560.0,201601,All
LUXEMBOURG,3477.0,201601,All
NETHERLANDS,40776.0,201601,All
POLAND,31796.0,201601,All
PORTUGAL,13938.0,201601,All
ROMANIA,5800.0,201601,All
SLOVAKIA,5473.0,201601,All
SLOVENIA,5823.0,201601,All
SPAIN,76395.0,201601,All
SWEDEN,21648.0,201601,All
UNITED KINGDOM,169678.0,201601,All
ICELAND,1219.0,201601,All
NORWAY,10991.0,201601,All
SWITZERLAND,20205.0,201601,All
AUSTRIA,22495.0,201602,All
BELGIUM,49707.0,201602,All
BULGARIA,1661.0,201602,All
CROATIA,2440.0,201602,All
CYPRUS,1100.0,201602,All
CZECH REPUBLIC,19299.0,201602,All
DENMARK,16595.0,201602,All
ESTONIA,1622.0,201602,All
FINLAND,9656.0,201602,All
FRANCE,166728.0,201602,All
GERMANY,250146.0,201602,All
GREECE,3310.0,201602,All
HUNGARY,6625.0,201602,All
IRELAND,21576.0,201602,All
ITALY,172241.0,201602,All
LATVIA,1246.0,201602,All
LITHUANIA,1408.0,201602,All
LUXEMBOURG,4448.0,201602,All
NETHERLANDS,28408.0,201602,All
POLAND,33663.0,201602,All
PORTUGAL,18025.0,201602,All
ROMANIA,5099.0,201602,All
SLOVAKIA,6728.0,201602,All
SLOVENIA,4762.0,201602,All
SPAIN,97650.0,201602,All
SWEDEN,26869.0,201602,All
UNITED KINGDOM,83395.0,201602,All
ICELAND,1048.0,201602,All
NORWAY,12222.0,201602,All
SWITZERLAND,22653.0,201602,All
AUSTRIA,31941.0,201603,All
BELGIUM,56423.0,201603,All
BULGARIA,2230.0,201603,All
CROATIA,4013.0,201603,All
CYPRUS,1320.0,201603,All
CZECH REPUBLIC,22799.0,201603,All
DENMARK,19190.0,201603,All
ESTONIA,2021.0,201603,All
FINLAND,11637.0,201603,All
FRANCE,211254.0,201603,All
GERMANY,322913.0,201603,All
GREECE,6316.0,201603,All
HUNGARY,7494.0,201603,All
IRELAND,21532.0,201603,All
ITALY,190381.0,201603,All
LATVIA,1548.0,201603,All
LITHUANIA,1634.0,201603,All
LUXEMBOURG,5040.0,201603,All
NETHERLANDS,29869.0,201603,All
POLAND,39229.0,201603,All
PORTUGAL,26458.0,201603,All
ROMANIA,6572.0,201603,All
SLOVAKIA,7823.0,201603,All
SLOVENIA,6106.0,201603,All
SPAIN,111512.0,201603,All
SWEDEN,34712.0,201603,All
UNITED KINGDOM,518707.0,201603,All
ICELAND,1338.0,201603,All
NORWAY,13875.0,201603,All
SWITZERLAND,29099.0,201603,All
AUSTRIA,31102.0,201604,All
BELGIUM,55022.0,201604,All
BULGARIA,2173.0,201604,All
CROATIA,4788.0,201604,All
CYPRUS,1151.0,201604,All
CZECH REPUBLIC,23131.0,201604,All
DENMARK,19886.0,201604,All
ESTONIA,2134.0,201604,All
FINLAND,11085.0,201604,All
FRANCE,182863.0,201604,All
GERMANY,315921.0,201604,All
GREECE,9735.0,201604,All
HUNGARY,8061.0,201604,All
IRELAND,10408.0,201604,All
ITALY,166966.0,201604,All
LATVIA,1462.0,201604,All
LITHUANIA,2037.0,201604,All
LUXEMBOURG,5233.0,201604,All
NETHERLANDS,27783.0,201604,All
POLAND,34517.0,201604,All
PORTUGAL,15984.0,201604,All
ROMANIA,6174.0,201604,All
SLOVAKIA,7279.0,201604,All
SLOVENIA,5472.0,201604,All
SPAIN,100281.0,201604,All
SWEDEN,33580.0,201604,All
UNITED KINGDOM,189505.0,201604,All
ICELAND,2273.0,201604,All
NORWAY,14116.0,201604,All
SWITZERLAND,28698.0,201604,All
AUSTRIA,28462.0,201605,All
BELGIUM,48856.0,201605,All
BULGARIA,2349.0,201605,All
CROATIA,5996.0,201605,All
CYPRUS,1297.0,201605,All
CZECH REPUBLIC,24335.0,201605,All
DENMARK,21141.0,201605,All
ESTONIA,2198.0,201605,All
FINLAND,10518.0,201605,All
FRANCE,175831.0,201605,All
GERMANY,286931.0,201605,All
GREECE,13489.0,201605,All
HUNGARY,8506.0,201605,All
IRELAND,6504.0,201605,All
ITALY,187631.0,201605,All
LATVIA,1415.0,201605,All
LITHUANIA,2163.0,201605,All
LUXEMBOURG,5011.0,201605,All
NETHERLANDS,29083.0,201605,All
POLAND,32968.0,201605,All
PORTUGAL,20836.0,201605,All
ROMANIA,6345.0,201605,All
SLOVAKIA,8299.0,201605,All
SLOVENIA,6325.0,201605,All
SPAIN,113671.0,201605,All
SWEDEN,34475.0,201605,All
UNITED KINGDOM,203585.0,201605,All
ICELAND,3392.0,201605,All
NORWAY,12864.0,201605,All
SWITZERLAND,26123.0,201605,All
AUSTRIA,33751.0,201606,All
BELGIUM,55273.0,201606,All
BULGARIA,2440.0,201606,All
CROATIA,6136.0,201606,All
CYPRUS,1077.0,201606,All
CZECH REPUBLIC,25714.0,201606,All
DENMARK,23633.0,201606,All
ESTONIA,1994.0,201606,All
FINLAND,10750.0,201606,All
FRANCE,227353.0,201606,All
GERMANY,339563.0,201606,All
GREECE,8863.0,201606,All
HUNGARY,9685.0,201606,All
IRELAND,1625.0,201606,All
ITALY,165208.0,201606,All
LATVIA,2090.0,201606,All
LITHUANIA,1904.0,201606,All
LUXEMBOURG,5106.0,201606,All
NETHERLANDS,39241.0,201606,All
POLAND,38555.0,201606,All
PORTUGAL,23376.0,201606,All
ROMANIA,5462.0,201606,All
SLOVAKIA,8354.0,201606,All
SLOVENIA,6492.0,201606,All
SPAIN,123790.0,201606,All
SWEDEN,36307.0,201606,All
UNITED KINGDOM,255766.0,201606,All
ICELAND,2855.0,201606,All
NORWAY,13681.0,201606,All
SWITZERLAND,31259.0,201606,All
AUSTRIA,26882.0,201607,All
BELGIUM,34373.0,201607,All
BULGARIA,2172.0,201607,All
CROATIA,3510.0,201607,All
CYPRUS,1209.0,201607,All
CZECH REPUBLIC,18739.0,201607,All
DENMARK,15726.0,201607,All
ESTONIA,1924.0,201607,All
FINLAND,8340.0,201607,All
FRANCE,132990.0,201607,All
GERMANY,278866.0,201607,All
GREECE,7034.0,201607,All
HUNGARY,8064.0,201607,All
IRELAND,29893.0,201607,All
ITALY,136953.0,201607,All
LATVIA,1257.0,201607,All
LITHUANIA,1656.0,201607,All
LUXEMBOURG,4141.0,201607,All
NETHERLANDS,31050.0,201607,All
POLAND,31262.0,201607,All
PORTUGAL,15638.0,201607,All
ROMANIA,10768.0,201607,All
SLOVAKIA,6826.0,201607,All
SLOVENIA,5062.0,201607,All
SPAIN,107306.0,201607,All
SWEDEN,24197.0,201607,All
UNITED KINGDOM,178523.0,201607,All
ICELAND,1612.0,201607,All
NORWAY,11040.0,201607,All
SWITZERLAND,26074.0,201607,All
AUSTRIA,23690.0,201608,All
BELGIUM,38655.0,201608,All
BULGARIA,2029.0,201608,All
CROATIA,2293.0,201608,All
CYPRUS,781.0,201608,All
CZECH REPUBLIC,21251.0,201608,All
DENMARK,17414.0,201608,All
ESTONIA,1831.0,201608,All
FINLAND,9196.0,201608,All
FRANCE,98211.0,201608,All
GERMANY,245076.0,201608,All
GREECE,4174.0,201608,All
HUNGARY,7181.0,201608,All
IRELAND,7302.0,201608,All
ITALY,71576.0,201608,All
LATVIA,1168.0,201608,All
LITHUANIA,1553.0,201608,All
LUXEMBOURG,3359.0,201608,All
NETHERLANDS,27110.0,201608,All
POLAND,28323.0,201608,All
PORTUGAL,10649.0,201608,All
ROMANIA,12411.0,201608,All
SLOVAKIA,6906.0,201608,All
SLOVENIA,3942.0,201608,All
SPAIN,64089.0,201608,All
SWEDEN,27316.0,201608,All
UNITED KINGDOM,81640.0,201608,All
ICELAND,1181.0,201608,All
NORWAY,13232.0,201608,All
SWITZERLAND,21927.0,201608,All
AUSTRIA,29836.0,201609,All
BELGIUM,41748.0,201609,All
BULGARIA,2147.0,201609,All
CROATIA,2476.0,201609,All
CYPRUS,982.0,201609,All
CZECH REPUBLIC,19946.0,201609,All
DENMARK,18477.0,201609,All
ESTONIA,1905.0,201609,All
FINLAND,9644.0,201609,All
FRANCE,168820.0,201609,All
GERMANY,298002.0,201609,All
GREECE,4595.0,201609,All
HUNGARY,8229.0,201609,All
IRELAND,4689.0,201609,All
ITALY,153617.0,201609,All
LATVIA,1530.0,201609,All
LITHUANIA,1704.0,201609,All
LUXEMBOURG,3568.0,201609,All
NETHERLANDS,33545.0,201609,All
POLAND,32653.0,201609,All
PORTUGAL,13965.0,201609,All
ROMANIA,9361.0,201609,All
SLOVAKIA,7126.0,201609,All
SLOVENIA,5036.0,201609,All
SPAIN,79591.0,201609,All
SWEDEN,32292.0,201609,All
UNITED KINGDOM,469696.0,201609,All
ICELAND,1027.0,201609,All
NORWAY,13854.0,201609,All
SWITZERLAND,26145.0,201609,All
AUSTRIA,26273.0,201610,All
BELGIUM,41969.0,201610,All
BULGARIA,2123.0,201610,All
CROATIA,2843.0,201610,All
CYPRUS,929.0,201610,All
CZECH REPUBLIC,21905.0,201610,All
DENMARK,17057.0,201610,All
ESTONIA,1874.0,201610,All
FINLAND,9162.0,201610,All
FRANCE,155194.0,201610,All
GERMANY,262724.0,201610,All
GREECE,4995.0,201610,All
HUNGARY,7953.0,201610,All
IRELAND,2241.0,201610,All
ITALY,146632.0,201610,All
LATVIA,1288.0,201610,All
LITHUANIA,1742.0,201610,All
LUXEMBOURG,4275.0,201610,All
NETHERLANDS,30189.0,201610,All
POLAND,32245.0,201610,All
PORTUGAL,14936.0,201610,All
ROMANIA,7951.0,201610,All
SLOVAKIA,7511.0,201610,All
SLOVENIA,5239.0,201610,All
SPAIN,83248.0,201610,All
SWEDEN,31840.0,201610,All
UNITED KINGDOM,180168.0,201610,All
ICELAND,908.0,201610,All
NORWAY,11932.0,201610,All
SWITZERLAND,23396.0,201610,All
AUSTRIA,25491.0,201611,All
BELGIUM,39645.0,201611,All
BULGARIA,1983.0,201611,All
CROATIA,2751.0,201611,All
CYPRUS,1110.0,201611,All
CZECH REPUBLIC,23161.0,201611,All
DENMARK,18007.0,201611,All
ESTONIA,1837.0,201611,All
FINLAND,9006.0,201611,All
FRANCE,163161.0,201611,All
GERMANY,276567.0,201611,All
GREECE,5897.0,201611,All
HUNGARY,9412.0,201611,All
IRELAND,747.0,201611,All
ITALY,145835.0,201611,All
LATVIA,1275.0,201611,All
LITHUANIA,1541.0,201611,All
LUXEMBOURG,3838.0,201611,All
NETHERLANDS,32271.0,201611,All
POLAND,37191.0,201611,All
PORTUGAL,16525.0,201611,All
ROMANIA,9645.0,201611,All
SLOVAKIA,7830.0,201611,All
SLOVENIA,5337.0,201611,All
SPAIN,92653.0,201611,All
SWEDEN,31801.0,201611,All
UNITED KINGDOM,184101.0,201611,All
ICELAND,955.0,201611,All
NORWAY,13194.0,201611,All
