"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Estimated Diameter",""
"(2017 SX17)","2017-Oct-02 10:20 ± < 00:01","0.23 | 0.00058","0.23 | 0.00058","7.31","6.66","28.3","5.8 m -   13 m","bK17S17X"
"(2018 MD7)","1915-Aug-08 11:22 ± 4_09:29","0.29 | 0.00074","0.23 | 0.00058","5.50","4.80","22.7","77 m -  170 m","bK18M07D"
"(2018 SD2)","2018-Sep-25 06:07 ±    00:01","0.23 | 0.00059","0.23 | 0.00059","4.14","2.85","28.6","5.1 m -   11 m","bK18S02D"
"(2018 QR1)","2018-Aug-21 21:10 ±    00:02","0.23 | 0.00059","0.23 | 0.00059","18.02","17.77","27.2","9.5 m -   21 m","bK18Q01R"
"(2017 FY101)","1918-Mar-29 17:18 ± 3_06:58","0.62 | 0.00159","0.23 | 0.00059","11.21","11.06","27.2","9.7 m -   22 m","bK17FA1Y"
"(2014 KC45)","2014-May-28 08:10 ± < 00:01","0.23 | 0.00059","0.23 | 0.00059","9.42","8.92","29.3","3.7 m -  8.2 m","bK14K45C"
"(2017 UJ43)","2112-Nov-08 06:27 ± 2_12:08","0.79 | 0.00202","0.24 | 0.00060","7.05","6.86","27.7","7.7 m -   17 m","bK17U43J"
"(2016 KO)","2111-May-28 04:39 ± 5_22:39","0.93 | 0.00239","0.24 | 0.00061","7.27","7.11","26.5","13 m -   30 m","bK16K00O"
"(2012 TM79)","2012-Oct-09 17:05 ± < 00:01","0.24 | 0.00062","0.24 | 0.00061","9.86","9.41","26.6","13 m -   28 m","bK12T79M"
"(2016 SU2)","2139-Sep-27 01:04 ±    05:21","0.27 | 0.00070","0.24 | 0.00062","13.03","12.73","27.6","8.0 m -   18 m","bK16S02U"
"(2020 DR4)","2020-Feb-25 20:30 ±    00:03","0.24 | 0.00062","0.24 | 0.00062","7.43","6.83","29.7","3.0 m -  6.8 m","bK20D04R"
"(2017 SR2)","2017-Sep-20 20:29 ± < 00:01","0.24 | 0.00062","0.24 | 0.00062","9.99","9.55","28.6","5.1 m -   11 m","bK17S02R"
